for epoch -1 ; avg training acc : 2.5; avg training loss : 0.0; testing accuracy : -1
for epoch 1 ; avg training acc : 0.056640625; avg training loss : 0.18832021951675415; testing accuracy : 0.0234375
for epoch 2 ; avg training acc : 0.0654296875; avg training loss : 0.12833216786384583; testing accuracy : 0.03515625
for epoch 3 ; avg training acc : 0.1259765625; avg training loss : 0.10009661316871643; testing accuracy : 0.01953125
for epoch 4 ; avg training acc : 0.1591796875; avg training loss : 0.08378591388463974; testing accuracy : 0.046875
for epoch 0 ; avg training acc : 0.021484375; avg training loss : 0.6449617147445679; testing accuracy : 0.01171875
for epoch 1 ; avg training acc : 0.044921875; avg training loss : 0.21746408939361572; testing accuracy : 0.0234375
for epoch 2 ; avg training acc : 0.0859375; avg training loss : 0.15117210149765015; testing accuracy : 0.03515625
for epoch 3 ; avg training acc : 0.1201171875; avg training loss : 0.16863013803958893; testing accuracy : 0.03515625
for epoch 4 ; avg training acc : 0.1953125; avg training loss : 0.1450032740831375; testing accuracy : 0.03125
for epoch 0 ; avg training acc : 0.0205078125; avg training loss : 1.0113906860351562; testing accuracy : 0.04296875
for epoch 1 ; avg training acc : 0.0361328125; avg training loss : 0.4530739486217499; testing accuracy : 0.03125
for epoch 2 ; avg training acc : 0.0751953125; avg training loss : 0.19261561334133148; testing accuracy : 0.04296875
for epoch 3 ; avg training acc : 0.111328125; avg training loss : 0.14271561801433563; testing accuracy : 0.04296875
for epoch 4 ; avg training acc : 0.1455078125; avg training loss : 0.11041803658008575; testing accuracy : 0.02734375
for epoch 0 ; avg training acc : 0.0224609375; avg training loss : 1.0762938261032104; testing accuracy : 0.03125
for epoch 1 ; avg training acc : 0.0390625; avg training loss : 0.35918128490448; testing accuracy : 0.01953125
for epoch 2 ; avg training acc : 0.072265625; avg training loss : 0.18386662006378174; testing accuracy : 0.02734375
for epoch 3 ; avg training acc : 0.09375; avg training loss : 0.12550431489944458; testing accuracy : 0.03515625
for epoch 4 ; avg training acc : 0.12109375; avg training loss : 0.09650568664073944; testing accuracy : 0.03515625
for epoch 0 ; avg training acc : 0.013671875; avg training loss : 0.9921485781669617; testing accuracy : 0.03515625
for epoch 1 ; avg training acc : 0.0537109375; avg training loss : 0.4819871783256531; testing accuracy : 0.0390625
for epoch 2 ; avg training acc : 0.0859375; avg training loss : 0.24760127067565918; testing accuracy : 0.0546875
for epoch 3 ; avg training acc : 0.1015625; avg training loss : 0.18681414425373077; testing accuracy : 0.0703125
for epoch 4 ; avg training acc : 0.14453125; avg training loss : 0.1412733942270279; testing accuracy : 0.0546875
for epoch 0 ; avg training acc : 0.0205078125; avg training loss : 0.6352064609527588; testing accuracy : 0.01953125
for epoch 1 ; avg training acc : 0.0517578125; avg training loss : 0.2028498649597168; testing accuracy : 0.04296875
for epoch 2 ; avg training acc : 0.115234375; avg training loss : 0.13016466796398163; testing accuracy : 0.05078125
for epoch 3 ; avg training acc : 0.265625; avg training loss : 0.12197870016098022; testing accuracy : 0.140625
for epoch 4 ; avg training acc : 0.5078125; avg training loss : 0.10521616786718369; testing accuracy : 0.265625
for epoch 0 ; avg training acc : 0.0185546875; avg training loss : 0.7027661204338074; testing accuracy : 0.0234375
for epoch 1 ; avg training acc : 0.0322265625; avg training loss : 0.18099084496498108; testing accuracy : 0.0625
for epoch 2 ; avg training acc : 0.08984375; avg training loss : 0.12917304039001465; testing accuracy : 0.06640625
for epoch 3 ; avg training acc : 0.1123046875; avg training loss : 0.1318148821592331; testing accuracy : 0.0703125
for epoch 4 ; avg training acc : 0.1474609375; avg training loss : 0.13136760890483856; testing accuracy : 0.05859375
for epoch 0 ; avg training acc : 0.021484375; avg training loss : 0.9291359782218933; testing accuracy : 0.01171875
for epoch 1 ; avg training acc : 0.068359375; avg training loss : 0.3159950077533722; testing accuracy : 0.03125
for epoch 2 ; avg training acc : 0.119140625; avg training loss : 0.19540634751319885; testing accuracy : 0.03515625
for epoch 3 ; avg training acc : 0.1884765625; avg training loss : 0.14619697630405426; testing accuracy : 0.0625
for epoch 4 ; avg training acc : 0.353515625; avg training loss : 0.10764898359775543; testing accuracy : 0.13671875
for epoch 0 ; avg training acc : 0.01953125; avg training loss : 0.7940372228622437; testing accuracy : 0.015625
for epoch 1 ; avg training acc : 0.07421875; avg training loss : 0.28394076228141785; testing accuracy : 0.0390625
for epoch 2 ; avg training acc : 0.1357421875; avg training loss : 0.1623803824186325; testing accuracy : 0.0625
for epoch 3 ; avg training acc : 0.271484375; avg training loss : 0.1347314715385437; testing accuracy : 0.12890625
for epoch 4 ; avg training acc : 0.4794921875; avg training loss : 0.10125846415758133; testing accuracy : 0.2890625
for epoch 0 ; avg training acc : 0.025390625; avg training loss : 0.6306248307228088; testing accuracy : 0.03125
for epoch 1 ; avg training acc : 0.0625; avg training loss : 0.23576869070529938; testing accuracy : 0.0625
for epoch 2 ; avg training acc : 0.126953125; avg training loss : 0.14051666855812073; testing accuracy : 0.08984375
for epoch 3 ; avg training acc : 0.291015625; avg training loss : 0.11402443796396255; testing accuracy : 0.14453125
for epoch 4 ; avg training acc : 0.4423828125; avg training loss : 0.08011895418167114; testing accuracy : 0.20703125
for epoch 0 ; avg training acc : 0.0205078125; avg training loss : 0.6056016683578491; testing accuracy : 0.02734375
for epoch 1 ; avg training acc : 0.0595703125; avg training loss : 0.16237817704677582; testing accuracy : 0.0390625
for epoch 2 ; avg training acc : 0.1025390625; avg training loss : 0.12058018147945404; testing accuracy : 0.07421875
for epoch 3 ; avg training acc : 0.162109375; avg training loss : 0.09671678394079208; testing accuracy : 0.09375
for epoch 4 ; avg training acc : 0.283203125; avg training loss : 0.07709569483995438; testing accuracy : 0.1171875
for epoch 0 ; avg training acc : 0.01953125; avg training loss : 0.6431835889816284; testing accuracy : 0.0234375
for epoch 1 ; avg training acc : 0.0546875; avg training loss : 0.20174440741539001; testing accuracy : 0.03125
for epoch 2 ; avg training acc : 0.1484375; avg training loss : 0.12270767241716385; testing accuracy : 0.0625
for epoch 3 ; avg training acc : 0.3662109375; avg training loss : 0.09491632878780365; testing accuracy : 0.3046875
for epoch 4 ; avg training acc : 0.720703125; avg training loss : 0.07421448826789856; testing accuracy : 0.515625
for epoch 0 ; avg training acc : 0.005859375; avg training loss : 0.9334716200828552; testing accuracy : 0.04296875
for epoch 0 ; avg training acc : 0.5316939079898527; avg training loss : 0.9605504870414734; testing accuracy : 0.9565174191497093
for epoch 0 ; avg training acc : 0.0166015625; avg training loss : 0.7563704252243042; testing accuracy : 0.02734375
for epoch 2 ; avg training acc : 0.0673828125; avg training loss : 0.3619428277015686; testing accuracy : 0.06640625
for epoch 0 ; avg training acc : 0.017578125; avg training loss : 0.701153039932251; testing accuracy : 0.015625
for epoch 1 ; avg training acc : 0.04296875; avg training loss : 0.2934696674346924; testing accuracy : 0.03515625
for epoch 2 ; avg training acc : 0.0810546875; avg training loss : 0.18000435829162598; testing accuracy : 0.0546875
for epoch 3 ; avg training acc : 0.1396484375; avg training loss : 0.1342354118824005; testing accuracy : 0.046875
for epoch 4 ; avg training acc : 0.2236328125; avg training loss : 0.11886066198348999; testing accuracy : 0.08984375
for epoch 0 ; avg training acc : 0.021484375; avg training loss : 1.0674668550491333; testing accuracy : 0.015625
for epoch 1 ; avg training acc : 0.0390625; avg training loss : 0.4685162305831909; testing accuracy : 0.03125
for epoch 2 ; avg training acc : 0.1083984375; avg training loss : 0.28925010561943054; testing accuracy : 0.046875
for epoch 3 ; avg training acc : 0.2177734375; avg training loss : 0.18467086553573608; testing accuracy : 0.11328125
for epoch 4 ; avg training acc : 0.4111328125; avg training loss : 0.1512451469898224; testing accuracy : 0.203125
for epoch 5 ; avg training acc : 0.5771484375; avg training loss : 0.09691420942544937; testing accuracy : 0.39453125
for epoch 6 ; avg training acc : 0.7177734375; avg training loss : 0.08188585937023163; testing accuracy : 0.49609375
for epoch 7 ; avg training acc : 0.8525390625; avg training loss : 0.06128528714179993; testing accuracy : 0.66015625
for epoch 8 ; avg training acc : 0.939453125; avg training loss : 0.039130132645368576; testing accuracy : 0.7890625
for epoch 9 ; avg training acc : 0.96484375; avg training loss : 0.045765843242406845; testing accuracy : 0.86328125
for epoch 10 ; avg training acc : 0.9677734375; avg training loss : 0.03856902942061424; testing accuracy : 0.8828125
for epoch 11 ; avg training acc : 0.970703125; avg training loss : 0.02959875762462616; testing accuracy : 0.90234375
for epoch 12 ; avg training acc : 0.9677734375; avg training loss : 0.027196381241083145; testing accuracy : 0.9375
for epoch 13 ; avg training acc : 0.96875; avg training loss : 0.026569973677396774; testing accuracy : 0.93359375
for epoch 0 ; avg training acc : 0.015625; avg training loss : 0.808384358882904; testing accuracy : 0.01953125
for epoch 1 ; avg training acc : 0.0439453125; avg training loss : 0.3103867769241333; testing accuracy : 0.03125
for epoch 2 ; avg training acc : 0.0869140625; avg training loss : 0.18058539927005768; testing accuracy : 0.03125
for epoch 3 ; avg training acc : 0.125; avg training loss : 0.12608037889003754; testing accuracy : 0.03515625
for epoch 16 ; avg training acc : 0.9482421875; avg training loss : 0.0943533256649971; testing accuracy : 0.9609375
for epoch 17 ; avg training acc : 0.9609375; avg training loss : 0.06008843332529068; testing accuracy : 0.94921875
for epoch 18 ; avg training acc : 0.9619140625; avg training loss : 0.03991423547267914; testing accuracy : 0.94140625
for epoch 0 ; avg training acc : 0.0166015625; avg training loss : 1.1350293159484863; testing accuracy : 0.01953125
for epoch 0 ; avg training acc : 0.013671875; avg training loss : 1.1758610010147095; testing accuracy : 0.01953125
for epoch 1 ; avg training acc : 0.041015625; avg training loss : 0.44734787940979004; testing accuracy : 0.0546875
for epoch 2 ; avg training acc : 0.0693359375; avg training loss : 0.22865097224712372; testing accuracy : 0.03515625
for epoch 3 ; avg training acc : 0.095703125; avg training loss : 0.15455065667629242; testing accuracy : 0.046875
for epoch 4 ; avg training acc : 0.1259765625; avg training loss : 0.12104879319667816; testing accuracy : 0.05078125
for epoch 5 ; avg training acc : 0.1787109375; avg training loss : 0.09876028448343277; testing accuracy : 0.06640625
for epoch 6 ; avg training acc : 0.22265625; avg training loss : 0.08050511032342911; testing accuracy : 0.06640625
for epoch 8 ; avg training acc : 0.173828125; avg training loss : 0.13465873897075653; testing accuracy : 0.12109375
for epoch 9 ; avg training acc : 0.2275390625; avg training loss : 0.11356905847787857; testing accuracy : 0.09375
for epoch 11 ; avg training acc : 0.2216796875; avg training loss : 0.09993366152048111; testing accuracy : 0.20703125
for epoch 12 ; avg training acc : 0.294921875; avg training loss : 0.08486027270555496; testing accuracy : 0.171875
for epoch 13 ; avg training acc : 0.416015625; avg training loss : 0.07165760546922684; testing accuracy : 0.16796875
for epoch 14 ; avg training acc : 0.474609375; avg training loss : 0.07566998153924942; testing accuracy : 0.171875
for epoch 15 ; avg training acc : 0.5419921875; avg training loss : 0.06929882615804672; testing accuracy : 0.203125
for epoch 16 ; avg training acc : 0.669921875; avg training loss : 0.05967129394412041; testing accuracy : 0.2265625
for epoch 17 ; avg training acc : 0.7490234375; avg training loss : 0.054947514086961746; testing accuracy : 0.24609375
for epoch 18 ; avg training acc : 0.8505859375; avg training loss : 0.046192094683647156; testing accuracy : 0.3203125
for epoch 19 ; avg training acc : 0.90625; avg training loss : 0.04154529795050621; testing accuracy : 0.3515625
for epoch 20 ; avg training acc : 0.9365234375; avg training loss : 0.03872276097536087; testing accuracy : 0.40625
for epoch 21 ; avg training acc : 0.955078125; avg training loss : 0.03638874366879463; testing accuracy : 0.453125
for epoch 22 ; avg training acc : 0.9619140625; avg training loss : 0.034415047615766525; testing accuracy : 0.5078125
for epoch 23 ; avg training acc : 0.9580078125; avg training loss : 0.033929117023944855; testing accuracy : 0.48046875
for epoch 24 ; avg training acc : 0.9619140625; avg training loss : 0.0336192324757576; testing accuracy : 0.46484375
for epoch 25 ; avg training acc : 0.9697265625; avg training loss : 0.03235588222742081; testing accuracy : 0.45703125
for epoch 26 ; avg training acc : 0.9716796875; avg training loss : 0.03191614896059036; testing accuracy : 0.49609375
for epoch 27 ; avg training acc : 0.96875; avg training loss : 0.0314129963517189; testing accuracy : 0.48828125
for epoch 28 ; avg training acc : 0.966796875; avg training loss : 0.030829284340143204; testing accuracy : 0.51171875
for epoch 29 ; avg training acc : 0.97265625; avg training loss : 0.03004065714776516; testing accuracy : 0.484375
for epoch 30 ; avg training acc : 0.978515625; avg training loss : 0.029308494180440903; testing accuracy : 0.53125
for epoch 31 ; avg training acc : 0.974609375; avg training loss : 0.028924057260155678; testing accuracy : 0.52734375
for epoch 32 ; avg training acc : 0.9755859375; avg training loss : 0.028604434803128242; testing accuracy : 0.546875
for epoch 33 ; avg training acc : 0.98046875; avg training loss : 0.028312765061855316; testing accuracy : 0.5703125
for epoch 34 ; avg training acc : 0.9736328125; avg training loss : 0.02821348048746586; testing accuracy : 0.60546875
for epoch 0 ; avg training acc : 0.7616107107579023; avg training loss : 0.9441048502922058; testing accuracy : 0.9500242721202762
for epoch 0 ; avg training acc : 0.5211894724628713; avg training loss : 0.96250319480896; testing accuracy : 0.929375
for epoch 1 ; avg training acc : 0.9448773978960396; avg training loss : 0.9118329882621765; testing accuracy : 0.94984375
for epoch 2 ; avg training acc : 0.953922687190594; avg training loss : 0.8691005110740662; testing accuracy : 0.959296875
for epoch 3 ; avg training acc : 0.9574566831683168; avg training loss : 0.785975456237793; testing accuracy : 0.9599609375
for epoch 4 ; avg training acc : 0.9588635133044554; avg training loss : 0.6679786443710327; testing accuracy : 0.95955078125
for epoch 5 ; avg training acc : 0.9593662979579208; avg training loss : 0.5670442581176758; testing accuracy : 0.96068359375
for epoch 6 ; avg training acc : 0.959782062190594; avg training loss : 0.5052300095558167; testing accuracy : 0.9601953125
for epoch 7 ; avg training acc : 0.9600624613242574; avg training loss : 0.4631550908088684; testing accuracy : 0.96083984375
for epoch 8 ; avg training acc : 0.9606087561881188; avg training loss : 0.42532533407211304; testing accuracy : 0.96087890625
for epoch 9 ; avg training acc : 0.9612324025371287; avg training loss : 0.3969314694404602; testing accuracy : 0.960390625
for epoch 10 ; avg training acc : 0.9610583616955446; avg training loss : 0.38274750113487244; testing accuracy : 0.960390625
for epoch 11 ; avg training acc : 0.9612855816831684; avg training loss : 0.36391735076904297; testing accuracy : 0.960546875
for epoch 12 ; avg training acc : 0.9611695544554455; avg training loss : 0.3528650403022766; testing accuracy : 0.95951171875
for epoch 13 ; avg training acc : 0.9610003480816832; avg training loss : 0.34394869208335876; testing accuracy : 0.96052734375
for epoch 14 ; avg training acc : 0.9608553140470297; avg training loss : 0.33422744274139404; testing accuracy : 0.96015625
for epoch 15 ; avg training acc : 0.9606135906559405; avg training loss : 0.32651346921920776; testing accuracy : 0.959609375
for epoch 16 ; avg training acc : 0.9601543162128713; avg training loss : 0.3248310685157776; testing accuracy : 0.96064453125
for epoch 17 ; avg training acc : 0.9605410736386139; avg training loss : 0.31540825963020325; testing accuracy : 0.96046875
for epoch 18 ; avg training acc : 0.9605507425742574; avg training loss : 0.3116176426410675; testing accuracy : 0.96087890625
for epoch 19 ; avg training acc : 0.9602365021658416; avg training loss : 0.31078261137008667; testing accuracy : 0.95873046875
for epoch 20 ; avg training acc : 0.9599657719678217; avg training loss : 0.3043341636657715; testing accuracy : 0.95966796875
for epoch 21 ; avg training acc : 0.9606764387376238; avg training loss : 0.30097076296806335; testing accuracy : 0.958984375
for epoch 22 ; avg training acc : 0.9605362391707921; avg training loss : 0.29949039220809937; testing accuracy : 0.95982421875
for epoch 23 ; avg training acc : 0.9601301438737624; avg training loss : 0.29264509677886963; testing accuracy : 0.96029296875
for epoch 24 ; avg training acc : 0.9600044477103961; avg training loss : 0.2923944592475891; testing accuracy : 0.96001953125
for epoch 25 ; avg training acc : 0.9601543162128713; avg training loss : 0.2915596663951874; testing accuracy : 0.95962890625
for epoch 26 ; avg training acc : 0.9603235225866337; avg training loss : 0.2906266450881958; testing accuracy : 0.95953125
for epoch 0 ; avg training acc : 0.23836295060285434; avg training loss : 0.9784549474716187; testing accuracy : 0.9118416078629032
for epoch 1 ; avg training acc : 0.9416359728715551; avg training loss : 0.89054274559021; testing accuracy : 0.9370983492943549
for epoch 2 ; avg training acc : 0.9555356483759843; avg training loss : 0.8423709869384766; testing accuracy : 0.9542315083165323
for epoch 3 ; avg training acc : 0.9592044860359252; avg training loss : 0.8126965761184692; testing accuracy : 0.9594254032258065
for epoch 4 ; avg training acc : 0.9607068159448819; avg training loss : 0.7807573080062866; testing accuracy : 0.9567162298387096
for epoch 5 ; avg training acc : 0.9609009750246063; avg training loss : 0.7472718358039856; testing accuracy : 0.9585433467741935
for epoch 0 ; avg training acc : 0.4657958984375; avg training loss : 1.0016473531723022; testing accuracy : 0.9201558430989584
for epoch 1 ; avg training acc : 0.92565673828125; avg training loss : 0.9160546660423279; testing accuracy : 0.9343058268229166
for epoch 2 ; avg training acc : 0.9392822265625; avg training loss : 0.9102100133895874; testing accuracy : 0.9434407552083334
for epoch 3 ; avg training acc : 0.94906982421875; avg training loss : 0.8943662047386169; testing accuracy : 0.9525858561197916
for epoch 4 ; avg training acc : 0.95619873046875; avg training loss : 0.8647347092628479; testing accuracy : 0.96142578125
for epoch 5 ; avg training acc : 0.96105712890625; avg training loss : 0.8374372124671936; testing accuracy : 0.96258544921875
for epoch 6 ; avg training acc : 0.96098876953125; avg training loss : 0.7979372143745422; testing accuracy : 0.9621073404947916
for epoch 7 ; avg training acc : 0.96134521484375; avg training loss : 0.7415913343429565; testing accuracy : 0.9626566569010416
for epoch 8 ; avg training acc : 0.96198974609375; avg training loss : 0.6876556873321533; testing accuracy : 0.963592529296875
for epoch 9 ; avg training acc : 0.9623193359375; avg training loss : 0.6182034015655518; testing accuracy : 0.9630126953125
for epoch 10 ; avg training acc : 0.96232666015625; avg training loss : 0.5771039724349976; testing accuracy : 0.9625752766927084
for epoch 11 ; avg training acc : 0.96245849609375; avg training loss : 0.5445581674575806; testing accuracy : 0.9631551106770834
for epoch 12 ; avg training acc : 0.96267578125; avg training loss : 0.5135931372642517; testing accuracy : 0.96331787109375
for epoch 13 ; avg training acc : 0.96292236328125; avg training loss : 0.4958658516407013; testing accuracy : 0.96331787109375
for epoch 14 ; avg training acc : 0.96333984375; avg training loss : 0.4799374043941498; testing accuracy : 0.9626057942708334
for epoch 15 ; avg training acc : 0.96363525390625; avg training loss : 0.45011913776397705; testing accuracy : 0.963592529296875
for epoch 16 ; avg training acc : 0.96356689453125; avg training loss : 0.4323023557662964; testing accuracy : 0.9648030598958334
for epoch 17 ; avg training acc : 0.964287109375; avg training loss : 0.4258044362068176; testing accuracy : 0.9657084147135416
for epoch 18 ; avg training acc : 0.9646142578125; avg training loss : 0.42087358236312866; testing accuracy : 0.9655863444010416
for epoch 19 ; avg training acc : 0.964833984375; avg training loss : 0.4159141480922699; testing accuracy : 0.9660542805989584
for epoch 20 ; avg training acc : 0.96529541015625; avg training loss : 0.4010217487812042; testing accuracy : 0.96630859375
for epoch 21 ; avg training acc : 0.9643798828125; avg training loss : 0.4011126756668091; testing accuracy : 0.96484375
for epoch 22 ; avg training acc : 0.964375; avg training loss : 0.39400702714920044; testing accuracy : 0.9657084147135416
for epoch 23 ; avg training acc : 0.964599609375; avg training loss : 0.38240352272987366; testing accuracy : 0.9658406575520834
for epoch 24 ; avg training acc : 0.96488037109375; avg training loss : 0.3799339830875397; testing accuracy : 0.966094970703125
for epoch 25 ; avg training acc : 0.96493408203125; avg training loss : 0.3774712383747101; testing accuracy : 0.9661763509114584
for epoch 26 ; avg training acc : 0.9647412109375; avg training loss : 0.37294578552246094; testing accuracy : 0.9652811686197916
for epoch 27 ; avg training acc : 0.96415283203125; avg training loss : 0.3735131621360779; testing accuracy : 0.9648844401041666
for epoch 28 ; avg training acc : 0.96461669921875; avg training loss : 0.369306743144989; testing accuracy : 0.9643452962239584
for epoch 29 ; avg training acc : 0.96438720703125; avg training loss : 0.35785526037216187; testing accuracy : 0.9638264973958334
for epoch 30 ; avg training acc : 0.964443359375; avg training loss : 0.34907829761505127; testing accuracy : 0.965576171875
for epoch 31 ; avg training acc : 0.96535400390625; avg training loss : 0.3502550423145294; testing accuracy : 0.966400146484375
for epoch 32 ; avg training acc : 0.9644873046875; avg training loss : 0.35510197281837463; testing accuracy : 0.9648844401041666
for epoch 33 ; avg training acc : 0.96529296875; avg training loss : 0.35797119140625; testing accuracy : 0.9664713541666666
for epoch 34 ; avg training acc : 0.9651708984375; avg training loss : 0.36014869809150696; testing accuracy : 0.9654744466145834
for epoch 35 ; avg training acc : 0.9644091796875; avg training loss : 0.35286983847618103; testing accuracy : 0.964599609375
for epoch 36 ; avg training acc : 0.96448974609375; avg training loss : 0.34676215052604675; testing accuracy : 0.9643656412760416
for epoch 37 ; avg training acc : 0.96449462890625; avg training loss : 0.3422686457633972; testing accuracy : 0.9661763509114584
for epoch 38 ; avg training acc : 0.96411865234375; avg training loss : 0.3430916965007782; testing accuracy : 0.9648640950520834
for epoch 39 ; avg training acc : 0.9639111328125; avg training loss : 0.3419778048992157; testing accuracy : 0.9651387532552084
for epoch 40 ; avg training acc : 0.96424560546875; avg training loss : 0.34696701169013977; testing accuracy : 0.965911865234375
for epoch 41 ; avg training acc : 0.9635498046875; avg training loss : 0.3420521020889282; testing accuracy : 0.965301513671875
for epoch 42 ; avg training acc : 0.96399169921875; avg training loss : 0.3503431975841522; testing accuracy : 0.9651387532552084
for epoch 43 ; avg training acc : 0.96356689453125; avg training loss : 0.34592264890670776; testing accuracy : 0.9645589192708334
for epoch 44 ; avg training acc : 0.9633349609375; avg training loss : 0.34602102637290955; testing accuracy : 0.965179443359375
for epoch 45 ; avg training acc : 0.96502685546875; avg training loss : 0.3404977023601532; testing accuracy : 0.9651997884114584
for epoch 46 ; avg training acc : 0.96353759765625; avg training loss : 0.3377853035926819; testing accuracy : 0.964263916015625
for epoch 47 ; avg training acc : 0.9639794921875; avg training loss : 0.3303101360797882; testing accuracy : 0.96551513671875
for epoch 48 ; avg training acc : 0.96372802734375; avg training loss : 0.32283392548561096; testing accuracy : 0.9647928873697916
for epoch 49 ; avg training acc : 0.96391357421875; avg training loss : 0.3142267167568207; testing accuracy : 0.9656880696614584
for epoch 0 ; avg training acc : 0.8802073335764742; avg training loss : 0.8947004675865173; testing accuracy : 0.9591366607363861
for epoch 1 ; avg training acc : 0.9626797762784091; avg training loss : 0.8398581147193909; testing accuracy : 0.9654504757116337
